average_hr,average_watts,moving_time,average_speed,average_grade,distance,total_elevation_gain,labels,polyline,id
174.9,362.4,5.6,11.6,8.0,1.1,447.9,3,wqbfFx}ckVRY`As@x@Md@YXi@f@c@XMVC^SZ[f@YRCRHd@\\Rj@Db@Dh@I`@_@l@[ZcAr@a@h@m@|AY\\_@Re@b@Uj@Ar@Tt@Hd@Dx@Bd@Ax@GVc@v@w@nB]^e@t@Kp@Hx@~@bDXl@pAzA\\r@Jj@FbAIf@O\\GJKZGzAU`AMd@[\\YL}@H]HeEtAqEh@o@L,146
169.9,325.6,7.2,12.2,6.5,1.5,501.5,3,{ckfF|ffkVTd@@h@U~BO~@YdA_@|@O~@GdBYz@aApAs@n@[v@Kf@_@p@Ad@RPr@FLTAj@Qf@a@Fi@?i@TqAtAu@j@}AtBy@n@aAn@[f@Sl@?RJ\\b@F^Cd@Ih@QtA_@j@Qj@Yt@Gv@PN`@Gb@[^[V[d@@b@RPd@@`@RNb@NbAL|ALx@Pt@x@nCJl@NtAR\\JHt@?d@JtAbA|@f@x@\\h@NV?ZOz@Bj@j@x@`AXZb@Pn@Ft@Ex@Vd@d@p@Dd@RZ`@~@fAz@j@,156
159.5,284.0,6.1,12.4,5.1,1.3,340.6,3,_qhfFjmokVb@e@d@OVCx@SXO~@gArBq@|Aq@tAWb@a@Fe@Ey@?aAVy@\\i@n@YR?bADxBZz@En@Sd@a@rAeBd@aAXiApB}ELi@TyBZcAh@kAd@g@f@Mn@Bn@Rb@\\d@X`@BZIX]Bm@Em@@_@Pq@r@}B\\yAXs@@e@Kw@VwBKcCBwACeAQmCBW\\aBZu@~@_Ad@YhAQ,157
164.6,277.5,5.7,11.6,5.6,1.1,324.9,3,a`|eFxtzjVEbAOpAY~@c@f@s@XwBj@i@^[p@oAjDa@nAMr@?x@Nn@Jx@Kz@Ux@Ct@Hn@FBAAFVd@dAHv@Cf@Jj@DdAGfAMp@a@|@w@x@u@`@}@JoCYw@WsBuA{@QmACk@Ne@f@_@fAMfA?~A?|ALt@Bv@Sz@Mv@Dl@PfAAn@i@`C?jAT|@`@r@\\b@,160
164.5,307.9,4.9,12.8,5.5,1.1,307.5,3,cwufFxmnkV|@yBRqA@gAEm@Oc@u@_Aw@m@u@UiACo@DwAf@w@v@s@h@i@D_@PgBrAqAxAWb@i@xA[VQQ?k@Ru@N[b@yAXyAd@u@dBmBvAqCTw@`@s@^_@z@_@n@Kl@?d@Op@s@^Sv@Kn@QbA{@bAm@h@i@Hy@G[w@iBk@_@IA{@F_AX,217
167.7,307.5,6.7,13.7,4.8,1.5,386.4,3,u|y`Fxl`fVUdBmApB_B~COd@g@|B_@j@mAf@{@t@a@p@]r@cAxAkAlBa@\\w@Pc@Ne@`@wAlCuA~AY`@i@dAm@z@ONW\\e@v@e@NcARcBxAa@f@iC~BKNy@p@eCxAOLSd@SVo@Vc@JaAd@u@RgAPeDjBk@b@eApAaA`A_E|CcBbAq@j@m@|AQrAm@pBy@lA}ArBs@h@aDv@MF,642
159.1,312.9,6.8,8.9,8.6,1.0,463.6,3,u`ocFt}_jVj@e@Hc@G_BDm@@q@I}@?m@Jc@ZWb@MJYHe@@UI_@W_@c@Qm@CWGI[@m@Hk@RyAPs@GU[Ke@Bw@Pm@D_@Mg@}@Qi@Ms@?c@Va@l@YVWVa@Tc@Aa@I_@Ws@_@k@iBmBu@_Aa@Co@Km@[Yi@[}BGm@@o@Js@A_@SKeA[wA_BWg@I_ABq@Hq@p@{BP}BVk@VU,738
166.8,318.6,7.4,11.5,6.4,1.4,496.7,3,iv|gFrmamVCASg@]g@{@}AKa@A_@Jm@n@gARi@P{@h@wFp@}E\\sBL{APmA`B_Df@wATiBGcEMyA]eCEqA@wCGaAUoB[kBGMIi@Eo@Z_GBq@CaA]eAQw@I}@H_Bb@sFJeB@{AMqA@q@Po@H_ACa@SeAAg@N_AX}@fB{Cl@qAb@w@Zm@RUxAsATi@Hk@D}@,907
166.2,319.4,10.2,13.8,4.9,2.4,623.1,3,weifFvi|hVo@vFOx@WbDM`@UVYb@Ij@Hp@Rl@Vf@Nb@Fh@@t@YT[Ac@LSf@E|@@h@d@|CR^TP`@JnAF\\RN\\Lh@PV`@`@|@~At@p@`An@\\X@XSLg@BkAXm@Ze@Ng@Hg@NW`@Bj@NvAJrB@n@Cp@M^EXCn@?f@HXVZ^HZ@h@Q`@EXJP^Bt@Gf@Wn@S^Op@Gn@Qx@GpAMh@u@xAqCxCg@v@Yl@Eh@B^^tBn@rBP`@T^`@Z^Th@`@Zh@Rh@\\d@^TFb@gAlBi@jAYjAAp@TvB@h@Eb@Op@q@`CShAEx@?vACl@WxAm@tAYXmAf@m@\\[n@WvC{@pBIVMj@Cz@JjBO`CMr@c@r@eAn@i@Ru@l@_ApBYXSN_@LwEbCs@d@y@`@i@\\Yv@,1319
158.6,280.4,4.6,12.4,5.5,0.9,274.4,3,ooveFdrnjVU`Ao@t@{@p@ORQ^g@r@g@Ra@FcAEw@Ps@f@g@l@_AfEQf@}@nBKNOd@AhAXvBb@rBj@dBp@fA\\Rr@t@@N`Az@b@Tf@Fb@HrCCr@Hr@Vl@X`@Z|BjAdAt@fA~@r@r@dA`@j@XhA|@p@X,1431
161.2,257.7,23.8,11.4,4.6,4.7,1251.6,3,sk_fFdntfV|@}B`A_BP[`@sBj@eAr@{@p@iAf@s@Pm@Tm@p@i@h@k@Xo@n@sBp@}A\\e@~AyA`@k@j@iBNwAN_AJ[ZW\\Q\\oA@o@AiBZ_A^y@b@sAp@gDJ_@`@aANs@A{@Se@CYD[Le@\\i@d@g@ZUTcAMqADaAD]`@}@Ns@?o@No@Vq@Te@H]Fi@?g@Iy@?k@l@{CH_CN_AbAeE?w@QsABg@JaAj@cCd@_Cz@uCPyBFWb@kAHi@@_@Hi@v@Wl@eABeAZcALOVQh@m@p@aAPa@BkA`@sA`@e@N]x@mCv@}@vDkHl@wAz@}AV{AL_BV[PMXKlAORITUN[PQf@[Na@@_APIREXQZYRc@X_@fAs@O{@k@UQU?c@L_@|@gCTeAXc@z@iAXYtAu@f@Qd@Eh@O^e@h@cA^_@XEZFVTZj@X^N^z@`@D{@Ys@G_@HsAJa@JSTSz@o@jAcAf@]rA]bCeC\\Yz@ERPn@v@^xABfBPj@\\UJUb@_@TYBGA_B^cALeAPWv@OPMPYBe@QgAA_@L[z@k@r@UNg@AS[mAGw@V{AVYJ?VN^f@Hb@B`APpArBnBb@Pf@[Vy@HMx@Wh@H\\Rp@jAv@d@f@`A`@]f@cAR_ABo@`@wAx@sAV[l@eAz@iBLe@Vq@hAeB`@U^CRK~@gAZKf@Er@[b@i@T_@`@c@\\Sr@k@M]{A[QGe@Ca@HGDFLH?EJLDbAIzBRt@S|@k@b@AZBj@E`BAp@M]@@Ff@GfAKpAUrBDp@Jb@@|CUj@Ih@[DG,1475
167.5,314.7,8.2,11.2,6.7,1.5,539.3,3,qvjfFpk|hVaACgAWe@Wq@i@q@_Ai@mAWsAMoA?oAHqApAuKDgA?mAGcAYwAWs@i@aAa@g@w@m@gKmG_HaEsG}DiAi@oAQeAA}FJoAEeAS{@c@y@s@q@iAyB{Es@uAy@cAeAu@cA[aAM{CYeA_@w@s@o@iAY_A,1569
